"seqname","location","trap","sizeclass","label","bodypart","nparts","plate_contents"
"RNMB_Foping_BS_P1_tag21_C12","Foping","FIT",5,"FP_FIT5-2_8","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_D12","Foping","FIT",5,"FP_FIT5-2_9","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_E12","Foping","FIT",5,"FP_FIT5-2_10","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_F12","Foping","FIT",5,"FP_FIT5-2_11","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_G12","Foping","FIT",5,"FP_FIT5-2_12","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P1_tag21_H12","Foping","FIT",5,"FP_FIT5-2_13","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_A1","Foping","FIT",5,"FP_FIT5-2_14","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_B1","Foping","FIT",5,"FP_FIT5-2_15","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_C1","Foping","FIT",5,"FP_FIT5-2_16","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_D1","Foping","FIT",5,"FP_FIT5-2_17","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_E1","Foping","FIT",5,"FP_FIT5-2_18","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_F1","Foping","FIT",5,"FP_FIT5-2_19","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_G1","Foping","FIT",5,"FP_FIT5-2_20","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_H1","Foping","FIT",5,"FP_FIT5-2_21","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_A2","Foping","FIT",5,"FP_FIT5-2_22","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_B2","Foping","FIT",5,"FP_FIT5-2_23","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_C2","Foping","FIT",5,"FP_FIT5-2_24","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_D2","Foping","FIT",5,"FP_FIT5-2_25","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_E2","Foping","FIT",5,"FP_FIT5-3_1","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_F2","Foping","FIT",5,"FP_FIT5-3_2","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_G2","Foping","FIT",5,"FP_FIT5-3_3","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_H2","Foping","FIT",5,"FP_FIT5-3_4","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_A3","Foping","FIT",5,"FP_FIT5-3_5","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_B3","Foping","FIT",5,"FP_FIT5-3_6","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_C3","Foping","FIT",5,"FP_FIT5-3_7","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_D3","Foping","FIT",5,"FP_FIT5-3_8","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_E3","Foping","FIT",5,"FP_FIT5-3_9","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_F3","Foping","FIT",5,"FP_FIT5-3_10","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_G3","Foping","FIT",5,"FP_FIT5-3_11","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_H3","Foping","FIT",5,"FP_FIT5-3_12","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_A4","Foping","FIT",5,"FP_FIT5-3_13","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_B4","Foping","FIT",5,"FP_FIT5-3_14","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_C4","Foping","FIT",5,"FP_FIT5-3_15","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_D4","Foping","FIT",5,"FP_FIT5-3_16","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_E4","Foping","FIT",5,"FP_FIT5-3_17","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_F4","Foping","FIT",5,"FP_FIT5-3_18","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_G4","Foping","FIT",5,"FP_FIT5-3_19","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_H4","Foping","FIT",5,"FP_FIT5-3_20","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_A5","Foping","FIT",5,"FP_FIT5-3_21","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_B5","Foping","FIT",5,"FP_FIT5-3_22","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_C5","Foping","FIT",5,"FP_FIT5-3_23","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_D5","Foping","FIT",5,"FP_FIT5-3_24","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_E5","Foping","FIT",5,"FP_FIT5-3_25","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_F5","Foping","FIT",5,"FP_FIT5-3_26","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_G5","Foping","FIT",5,"FP_FIT5-3_27","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_H5","Foping","FIT",5,"FP_FIT5-3_28","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_A6","Foping","FIT",5,"FP_FIT5-3_29","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_B6","Foping","FIT",5,"FP_FIT5-3_30","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_C6","Foping","FIT",5,"FP_FIT5-3_31","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_D6","Foping","FIT",5,"FP_FIT5-3_32","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_E6","Foping","FIT",6,"FP_FIT6-1","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_F6","Foping","FIT",6,"FP_FIT6-2","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_G6","Foping","FIT",6,"FP_FIT6-3","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_H6","Foping","FIT",6,"FP_FIT6-4","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_A7","Foping","FIT",6,"FP_FIT6-5","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_B7","Foping","FIT",6,"FP_FIT6-6","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_C7","Foping","FIT",6,"FP_FIT6-7","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_D7","Foping","FIT",6,"FP_FIT6-8","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_E7","Foping","FIT",6,"FP_FIT6-9","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_F7","Foping","FIT",6,"FP_FIT6-10","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_G7","Foping","FIT",6,"FP_FIT6-11","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_H7","Foping","FIT",6,"FP_FIT6-12","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_A8","Foping","FIT",6,"FP_FIT6-13","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_B8","Foping","FIT",6,"FP_FIT6-14","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_C8","Foping","FIT",6,"FP_FIT6-15","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_D8","Foping","FIT",6,"FP_FIT6-16","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_E8","Foping","FIT",6,"FP_FIT6-17","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_F8","Foping","FIT",6,"FP_FIT6-18","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_G8","Foping","FIT",6,"FP_FIT6-19","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_H8","Foping","FIT",6,"FP_FIT6-20","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_A9","Foping","FIT",6,"FP_FIT6-21","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_B9","Foping","FIT",6,"FP_FIT6-22","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_C9","Foping","FIT",6,"FP_FIT6-23","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_D9","Foping","FIT",6,"FP_FIT6-24","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_E9","Foping","FIT",6,"FP_FIT6-25","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_F9","Foping","FIT",6,"FP_FIT6-26","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_G9","Foping","FIT",6,"FP_FIT6-27","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_H9","Foping","FIT",6,"FP_FIT6-28","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_A10","Foping","FIT",6,"FP_FIT6-29","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_B10","Foping","FIT",6,"FP_FIT6-30","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_C10","Foping","FIT",6,"FP_FIT6-31","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_D10","Foping","FIT",6,"FP_FIT6-32","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_E10","Foping","FIT",6,"FP_FIT6-33","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_F10","Foping","FIT",6,"FP_FIT6-34","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_G10","Foping","FIT",6,"FP_FIT6-35","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_H10","Foping","FIT",6,"FP_FIT6-36","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_A11","Foping","FIT",6,"FP_FIT6-37","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_B11","Foping","FIT",6,"FP_FIT6-38","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_C11","Foping","FIT",6,"FP_FIT6-39","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_D11","Foping","FIT",6,"FP_FIT6-40","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_E11","Foping","FIT",6,"FP_FIT6-41","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_F11","Foping","FIT",6,"FP_FIT6-42","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_G11","Foping","FIT",6,"FP_FIT6-43","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_H11","Foping","FIT",6,"FP_FIT6-44","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_A12","Foping","FIT",6,"FP_FIT6-45","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_B12","Foping","FIT",6,"FP_FIT6-46","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_C12","Foping","FIT",6,"FP_FIT6-47","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_D12","Foping","FIT",6,"FP_FIT6-48","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_E12","Foping","FIT",6,"FP_FIT6-49","whole body",12,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_F12","Foping","FIT",7,"FP_FIT7-1","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_G12","Foping","FIT",7,"FP_FIT7-2","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P2_tag24_H12","Foping","FIT",7,"FP_FIT7-3","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_A1","Foping","FIT",7,"FP_FIT7-4","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_B1","Foping","FIT",7,"FP_FIT7-5","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_C1","Foping","FIT",7,"FP_FIT7-6","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_D1","Foping","FIT",7,"FP_FIT7-7","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_E1","Foping","FIT",7,"FP_FIT7-8","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_F1","Foping","FIT",7,"FP_FIT7-9","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_G1","Foping","FIT",7,"FP_FIT7-10","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_H1","Foping","FIT",7,"FP_FIT7-11","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_A2","Foping","FIT",7,"FP_FIT7-12","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_B2","Foping","FIT",7,"FP_FIT7-13","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_C2","Foping","FIT",7,"FP_FIT7-14","whole body",16,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_D2","Foping","MT",5,"FP_MT5-1_1","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_E2","Foping","MT",5,"FP_MT5-1_2","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_F2","Foping","MT",5,"FP_MT5-1_3","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_G2","Foping","MT",5,"FP_MT5-1_4","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_H2","Foping","MT",5,"FP_MT5-1_5","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_A3","Foping","MT",5,"FP_MT5-1_6","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_B3","Foping","MT",5,"FP_MT5-2_1","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_C3","Foping","MT",5,"FP_MT5-2_2","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_D3","Foping","MT",5,"FP_MT5-2_3","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_E3","Foping","MT",6,"FP_MT6-1","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_F3","Foping","MT",6,"FP_MT6-2","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_G3","Foping","MT",6,"FP_MT6-3","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_H3","Foping","MT",6,"FP_MT6-4","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_A4","Foping","MT",6,"FP_MT6-5","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_B4","Foping","MT",7,"FP_MT7-1","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_C4","Foping","MT",7,"FP_MT7-2","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_D4","Foping","MT",7,"FP_MT7-3","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_E4","Foping","MT",7,"FP_MT7-4","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_F4","Foping","MT",7,"FP_MT7-5","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_G4","Foping","MT",7,"FP_MT7-6","whole body",18,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_H4","Foping","L/N",5,"FP_L/N5-1_1","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_A5","Foping","L/N",5,"FP_L/N5-2_1","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_B5","Foping","L/N",5,"FP_L/N5-2_2","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_C5","Foping","L/N",6,"FP_L/N6-1","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_D5","Foping","L/N",6,"FP_L/N6-2","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_E5","Foping","L/N",7,"FP_L/N7-1","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_F5","Foping","L/N",7,"FP_L/N7-2","whole body",50,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_G5","Foping","Pit",5,"FP_Pit5-1","whole body",33,"Foping samples only"
"RNMB_Foping_BS_P3_tag26_H5","Foping","Pit",6,"FP_Pit6-1","whole body",5,"Foping samples only"
